"route_short_name";"trip_id";"arrival_time";"departure_time";"stop_id";"stop_sequence";"pickup_type";"drop_off_type"
"M1";113643558238752496;"24:08:17";"24:08:17";"1640B";4;0;0
"M1";113643558238752496;"24:11:00";"24:11:00";"1382";5;0;0
"M1";113643559238752496;"24:08:00";"24:08:00";"7832";1;0;0
"M1";113643559238752496;"24:11:00";"24:11:00";"2913";2;0;0
"M1";113643559238752496;"24:11:52";"24:11:52";"1639";3;0;0
"M1";113643559238752496;"24:13:17";"24:13:17";"1640B";4;0;0
"M1";113643559238752496;"24:16:00";"24:16:00";"1382";5;0;0
"M1";113643560238752496;"24:13:00";"24:13:00";"7832";1;0;0
"M1";113643560238752496;"24:16:00";"24:16:00";"2913";2;0;0
"M1";113643560238752496;"24:16:52";"24:16:52";"1639";3;0;0
"M1";113643560238752496;"24:18:17";"24:18:17";"1640B";4;0;0
"M1";113643560238752496;"24:21:00";"24:21:00";"1382";5;0;0
"M1";113643561238752496;"05:28:00";"05:28:00";"1382";1;0;0
"M1";113643561238752496;"05:31:12";"05:31:12";"1585";2;0;0
"M1";113643561238752496;"05:33:10";"05:33:10";"1586";3;0;0
"M1";113643561238752496;"05:34:00";"05:34:00";"1587";4;0;0
"M1";113643561238752496;"05:37:00";"05:37:00";"7831";5;0;0
"M1";113643562238752496;"05:38:00";"05:38:00";"1382";1;0;0
"M1";113643562238752496;"05:41:12";"05:41:12";"1585";2;0;0
"M1";113643562238752496;"05:43:10";"05:43:10";"1586";3;0;0
"M1";113643562238752496;"05:44:00";"05:44:00";"1587";4;0;0
"M1";113643562238752496;"05:47:00";"05:47:00";"7831";5;0;0
"M1";113643563238752496;"05:48:00";"05:48:00";"1382";1;0;0
"M1";113643563238752496;"05:51:12";"05:51:12";"1585";2;0;0
"M1";113643563238752496;"05:53:10";"05:53:10";"1586";3;0;0
"M1";113643563238752496;"05:54:00";"05:54:00";"1587";4;0;0
"M1";113643563238752496;"05:57:00";"05:57:00";"7831";5;0;0
"M1";113643564238752496;"05:58:00";"05:58:00";"1382";1;0;0
"M1";113643564238752496;"06:01:12";"06:01:12";"1585";2;0;0
"M1";113643564238752496;"06:03:10";"06:03:10";"1586";3;0;0
"M1";113643564238752496;"06:04:00";"06:04:00";"1587";4;0;0
"M1";113643564238752496;"06:07:00";"06:07:00";"7831";5;0;0
"M1";113643565238752496;"06:08:00";"06:08:00";"1382";1;0;0
"M1";113643565238752496;"06:11:12";"06:11:12";"1585";2;0;0
"M1";113643565238752496;"06:13:10";"06:13:10";"1586";3;0;0
"M1";113643565238752496;"06:14:00";"06:14:00";"1587";4;0;0
"M1";113643565238752496;"06:17:00";"06:17:00";"7831";5;0;0
"M1";113643566238752496;"06:18:00";"06:18:00";"1382";1;0;0
"M1";113643566238752496;"06:21:12";"06:21:12";"1585";2;0;0
"M1";113643566238752496;"06:23:10";"06:23:10";"1586";3;0;0
"M1";113643566238752496;"06:24:00";"06:24:00";"1587";4;0;0
"M1";113643566238752496;"06:27:00";"06:27:00";"7831";5;0;0
"M1";113643567238752496;"06:28:00";"06:28:00";"1382";1;0;0
